Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Delay,Discount Binned,Discounted Revenue,Profit Margin,Order Month,Order Quarter,Order DayOfWeek,Order Year,Is Holiday Week
Standard Class,Consumer,Raleigh,North Carolina,27604,South,Office Supplies,Art,47.616,3,0.2,5.952,5,11-20%,38.0928,0.125,January,1,Friday,2016,No
Standard Class,Corporate,New York City,New York,10009,East,Furniture,Furnishings,39.88,2,0.0,11.1664,4,No Discount,39.88,0.28,November,4,Tuesday,2016,No
Standard Class,Consumer,Dover,New Hampshire,3820,East,Office Supplies,Labels,16.52,4,0.0,7.5992,4,No Discount,16.52,0.46,March,1,Saturday,2015,No
Standard Class,Consumer,Renton,Washington,98059,West,Technology,Machines,1039.992,1,0.2,103.9992,4,11-20%,831.9936,0.1,November,4,Tuesday,2017,No
Standard Class,Consumer,Jacksonville,North Carolina,28540,South,Furniture,Furnishings,77.952,3,0.2,12.6672,4,11-20%,62.3616,0.1625,December,4,Thursday,2015,No
Standard Class,Corporate,Philadelphia,Pennsylvania,19140,East,Office Supplies,Storage,32.544,2,0.2,-7.7292,6,11-20%,26.0352,-0.2375,November,4,Monday,2016,Yes
Standard Class,Home Office,Cheyenne,Wyoming,82001,West,Furniture,Chairs,1603.136,4,0.2,100.196,5,11-20%,1282.5088,0.0625,November,4,Monday,2016,No
Standard Class,Home Office,Virginia Beach,Virginia,23464,South,Furniture,Furnishings,111.15,5,0.0,48.906,5,No Discount,111.15,0.44,November,4,Monday,2014,No
Standard Class,Consumer,Auburn,Alabama,36830,South,Furniture,Chairs,350.98,1,0.0,84.2352,5,No Discount,350.98,0.24,September,3,Sunday,2016,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19120,East,Office Supplies,Fasteners,5.984,2,0.2,-1.3464,4,11-20%,4.7872,-0.225,March,1,Tuesday,2016,No
Second Class,Consumer,San Diego,California,92037,West,Furniture,Chairs,1013.488,7,0.2,76.0116,2,11-20%,810.7904,0.075,January,1,Thursday,2016,No
First Class,Corporate,New York City,New York,10035,East,Office Supplies,Paper,80.88,3,0.0,39.6312,3,No Discount,80.88,0.49,July,3,Thursday,2015,No
Standard Class,Consumer,New York City,New York,10035,East,Technology,Phones,1299.66,2,0.0,350.9082,6,No Discount,1299.66,0.27,September,3,Wednesday,2017,No
Standard Class,Home Office,Lawrence,Indiana,46226,Central,Office Supplies,Labels,51.75,5,0.0,24.84,5,No Discount,51.75,0.48,November,4,Saturday,2016,No
First Class,Corporate,San Francisco,California,94110,West,Office Supplies,Appliances,43.56,2,0.0,15.246,3,No Discount,43.56,0.35,September,3,Monday,2015,No
Standard Class,Consumer,New York City,New York,10024,East,Technology,Accessories,89.97,3,0.0,18.8937,5,No Discount,89.97,0.21,December,4,Monday,2016,No
Standard Class,Consumer,Rochester,New York,14609,East,Office Supplies,Storage,535.41,3,0.0,160.623,5,No Discount,535.41,0.3,May,2,Thursday,2015,No
Standard Class,Consumer,Bloomington,Illinois,61701,Central,Office Supplies,Art,13.12,5,0.2,1.476,5,11-20%,10.496,0.1125,December,4,Thursday,2015,No
Standard Class,Consumer,Pembroke Pines,Florida,33024,South,Office Supplies,Appliances,24.472,7,0.2,1.8354,7,11-20%,19.5776,0.075,June,2,Saturday,2017,No
Second Class,Consumer,Auburn,New York,13021,East,Office Supplies,Art,263.88,6,0.0,71.2476,2,No Discount,263.88,0.27,April,2,Friday,2016,No
Standard Class,Consumer,Long Beach,California,90805,West,Office Supplies,Labels,29.6,2,0.0,14.8,6,No Discount,29.6,0.5,September,3,Sunday,2016,No
Standard Class,Consumer,Springfield,Oregon,97477,West,Office Supplies,Art,38.256,3,0.2,4.782,5,11-20%,30.6048,0.125,September,3,Wednesday,2014,No
First Class,Consumer,Edmonds,Washington,98026,West,Furniture,Tables,1298.55,5,0.0,311.652,2,No Discount,1298.55,0.24,October,4,Monday,2014,No
Standard Class,Consumer,New York City,New York,10035,East,Office Supplies,Binders,13.128,3,0.2,4.2666,6,11-20%,10.5024,0.325,June,2,Monday,2017,No
Standard Class,Consumer,Pembroke Pines,Florida,33024,South,Office Supplies,Paper,15.552,3,0.2,5.4432,7,11-20%,12.4416,0.35,June,2,Saturday,2017,No
Standard Class,Corporate,New York City,New York,10011,East,Office Supplies,Fasteners,7.24,4,0.0,2.3892,5,No Discount,7.24,0.33,September,3,Monday,2015,Yes
Standard Class,Corporate,Hillsboro,Oregon,97123,West,Office Supplies,Paper,19.608,3,0.2,6.6177,4,11-20%,15.6864,0.3375,November,4,Friday,2017,No
Standard Class,Consumer,New York City,New York,10024,East,Technology,Accessories,843.9,2,0.0,371.316,5,No Discount,843.9,0.44,December,4,Friday,2015,Yes
Standard Class,Consumer,Manchester,Connecticut,6040,East,Office Supplies,Art,119.04,6,0.0,48.8064,6,No Discount,119.04,0.41,July,3,Sunday,2017,No
Standard Class,Consumer,Thomasville,North Carolina,27360,South,Office Supplies,Supplies,52.136,7,0.2,5.8653,4,11-20%,41.7088,0.1125,November,4,Sunday,2016,No
Standard Class,Consumer,New York City,New York,10011,East,Office Supplies,Paper,48.94,1,0.0,24.47,4,No Discount,48.94,0.5,September,3,Tuesday,2014,No
Standard Class,Consumer,Johnson City,Tennessee,37604,South,Office Supplies,Art,4.224,3,0.2,0.4752,6,11-20%,3.3792,0.1125,November,4,Saturday,2014,No
Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Storage,68.6,4,0.0,18.522,5,No Discount,68.6,0.27,November,4,Saturday,2016,No
First Class,Consumer,Austin,Texas,78745,Central,Office Supplies,Binders,32.784,4,0.8,-52.4544,3,41-100%,6.5568,-1.6,January,1,Sunday,2017,No
Standard Class,Corporate,New York City,New York,10024,East,Office Supplies,Binders,3.744,1,0.2,1.3104,5,11-20%,2.9952,0.35,August,3,Thursday,2017,No
Standard Class,Consumer,Charlotte,North Carolina,28205,South,Office Supplies,Storage,67.344,6,0.2,7.5762,5,11-20%,53.8752,0.1125,September,3,Friday,2014,No
Standard Class,Consumer,Detroit,Michigan,48205,Central,Office Supplies,Art,79.36,4,0.0,23.808,5,No Discount,79.36,0.3,April,2,Friday,2014,No
Standard Class,Consumer,Lancaster,Ohio,43130,East,Office Supplies,Storage,16.768,2,0.2,1.4672,4,11-20%,13.4144,0.0875,April,2,Tuesday,2017,No
Same Day,Consumer,Springfield,Ohio,45503,East,Office Supplies,Storage,25.984,1,0.2,-5.1968,0,11-20%,20.7872,-0.2,July,3,Sunday,2014,No
Standard Class,Corporate,Coachella,California,92236,West,Technology,Accessories,99.99,1,0.0,43.9956,5,No Discount,99.99,0.44,November,4,Thursday,2017,No
Standard Class,Consumer,Florence,Kentucky,41042,South,Technology,Accessories,79.96,4,0.0,18.3908,4,No Discount,79.96,0.23,August,3,Monday,2015,No
Second Class,Consumer,Westland,Michigan,48185,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,5,No Discount,211.96,0.04,October,4,Monday,2014,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,4,11-20%,2.6112,0.3375,September,3,Thursday,2015,No
Standard Class,Consumer,Dallas,Texas,75220,Central,Office Supplies,Art,23.832,3,0.2,6.5538,4,11-20%,19.0656,0.275,March,1,Saturday,2017,No
Standard Class,Consumer,Newport News,Virginia,23602,South,Office Supplies,Envelopes,11.09,1,0.0,5.4341,5,No Discount,11.09,0.49,September,3,Sunday,2016,No
Standard Class,Corporate,Detroit,Michigan,48234,Central,Furniture,Chairs,872.94,3,0.0,226.9644,4,No Discount,872.94,0.26,December,4,Saturday,2017,No
Second Class,Consumer,Dallas,Texas,75217,Central,Office Supplies,Fasteners,4.344,3,0.2,0.8688,2,11-20%,3.4752,0.2,November,4,Thursday,2016,Yes
First Class,Corporate,Houston,Texas,77041,Central,Technology,Phones,946.344,7,0.2,118.293,3,11-20%,757.0752,0.125,September,3,Monday,2015,No
Standard Class,Consumer,Houston,Texas,77095,Central,Office Supplies,Envelopes,604.656,9,0.2,204.0714,7,11-20%,483.7248,0.3375,November,4,Saturday,2014,No
Standard Class,Consumer,New York City,New York,10009,East,Furniture,Furnishings,113.92,4,0.0,42.1504,4,No Discount,113.92,0.37,December,4,Sunday,2015,No
Standard Class,Consumer,New York City,New York,10009,East,Technology,Phones,136.99,1,0.0,36.9873,6,No Discount,136.99,0.27,December,4,Sunday,2017,No
Standard Class,Home Office,Elmhurst,Illinois,60126,Central,Furniture,Chairs,634.116,6,0.3,-172.1172,4,21-30%,443.8812,-0.271428571,March,1,Saturday,2014,No
Standard Class,Corporate,Vineland,New Jersey,8360,East,Office Supplies,Art,11.12,4,0.0,2.8912,6,No Discount,11.12,0.26,July,3,Monday,2015,No
Standard Class,Home Office,Gastonia,North Carolina,28052,South,Office Supplies,Binders,189.588,2,0.7,-145.3508,6,41-100%,56.8764,-0.766666667,April,2,Friday,2016,No
First Class,Consumer,San Francisco,California,94110,West,Furniture,Tables,210.008,1,0.2,2.6251,1,11-20%,168.0064,0.0125,August,3,Tuesday,2017,No
Same Day,Consumer,Redlands,California,92374,West,Office Supplies,Storage,46.84,2,0.0,12.6468,0,No Discount,46.84,0.27,October,4,Saturday,2015,No
Standard Class,Consumer,Pembroke Pines,Florida,33024,South,Technology,Accessories,83.976,3,0.2,-1.0497,5,11-20%,67.1808,-0.0125,November,4,Friday,2015,Yes
Standard Class,Corporate,Carrollton,Texas,75007,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,6,11-20%,8.2944,0.35,June,2,Monday,2016,No
Standard Class,Corporate,Jacksonville,North Carolina,28540,South,Office Supplies,Paper,88.768,2,0.2,31.0688,6,11-20%,71.0144,0.35,October,4,Thursday,2014,No
Second Class,Consumer,San Francisco,California,94110,West,Technology,Phones,703.968,4,0.2,87.996,2,11-20%,563.1744,0.125,November,4,Sunday,2014,No
Standard Class,Home Office,Philadelphia,Pennsylvania,19143,East,Office Supplies,Envelopes,104.68,5,0.2,35.3295,4,11-20%,83.744,0.3375,December,4,Friday,2017,No
Standard Class,Consumer,San Francisco,California,94110,West,Technology,Accessories,45.48,4,0.0,15.918,5,No Discount,45.48,0.35,March,1,Tuesday,2014,No
Standard Class,Consumer,Detroit,Michigan,48227,Central,Office Supplies,Appliances,376.74,4,0.1,71.162,4,0-10%,339.066,0.188888889,September,3,Thursday,2016,No
Standard Class,Home Office,New York City,New York,10009,East,Office Supplies,Binders,82.344,3,0.2,27.7911,4,11-20%,65.8752,0.3375,April,2,Saturday,2015,No
First Class,Consumer,Andover,Massachusetts,1810,East,Furniture,Chairs,354.9,5,0.0,88.725,3,No Discount,354.9,0.25,March,1,Wednesday,2016,No
Standard Class,Consumer,San Francisco,California,94122,West,Office Supplies,Appliances,1447.65,5,0.0,419.8185,4,No Discount,1447.65,0.29,April,2,Friday,2015,No
Standard Class,Home Office,New York City,New York,10024,East,Technology,Accessories,101.34,3,0.0,8.1072,4,No Discount,101.34,0.08,June,2,Saturday,2017,No
Standard Class,Corporate,Dallas,Texas,75220,Central,Furniture,Bookcases,205.9992,3,0.32,-27.2646,6,31-40%,140.079456,-0.132352941,November,4,Monday,2017,No
First Class,Consumer,Edmonds,Washington,98026,West,Office Supplies,Appliances,213.92,4,0.0,62.0368,2,No Discount,213.92,0.29,October,4,Monday,2014,No
Standard Class,Corporate,San Jose,California,95123,West,Office Supplies,Appliances,25.86,3,0.0,6.7236,5,No Discount,25.86,0.26,January,1,Tuesday,2017,No
Second Class,Consumer,Oxnard,California,93030,West,Technology,Accessories,82.95,5,0.0,29.0325,4,No Discount,82.95,0.35,November,4,Monday,2017,No
Standard Class,Corporate,Bowling Green,Ohio,43402,East,Technology,Copiers,899.982,3,0.4,74.9985,5,31-40%,539.9892,0.083333333,November,4,Thursday,2017,No
Standard Class,Home Office,Houston,Texas,77036,Central,Office Supplies,Binders,4.47,3,0.8,-7.8225,6,41-100%,0.894,-1.75,September,3,Saturday,2015,No
Second Class,Consumer,Longview,Washington,98632,West,Office Supplies,Appliances,76.12,2,0.0,22.0748,4,No Discount,76.12,0.29,November,4,Sunday,2017,No
Standard Class,Consumer,Urbandale,Iowa,50322,Central,Office Supplies,Art,75.96,2,0.0,22.788,7,No Discount,75.96,0.3,November,4,Thursday,2016,No
Standard Class,Consumer,Decatur,Illinois,62521,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,4,11-20%,8.2944,0.35,May,2,Tuesday,2016,No
First Class,Consumer,Rochester,New York,14609,East,Office Supplies,Art,13.36,2,0.0,4.9432,3,No Discount,13.36,0.37,June,2,Friday,2014,No
Standard Class,Corporate,Chicago,Illinois,60623,Central,Technology,Accessories,95.968,4,0.2,1.1996,6,11-20%,76.7744,0.0125,November,4,Friday,2016,No
First Class,Corporate,Mobile,Alabama,36608,South,Office Supplies,Binders,91.68,3,0.0,45.84,3,No Discount,91.68,0.5,November,4,Saturday,2016,No
Standard Class,Home Office,New York City,New York,10024,East,Technology,Phones,275.94,6,0.0,80.0226,5,No Discount,275.94,0.29,November,4,Tuesday,2014,No
Standard Class,Home Office,Seattle,Washington,98115,West,Office Supplies,Paper,20.34,3,0.0,9.3564,5,No Discount,20.34,0.46,April,2,Wednesday,2017,No
First Class,Consumer,Kirkwood,Missouri,63122,Central,Furniture,Furnishings,212.94,3,0.0,34.0704,1,No Discount,212.94,0.16,August,3,Friday,2015,No
Second Class,Corporate,Arlington,Texas,76017,Central,Technology,Phones,863.64,9,0.2,107.955,2,11-20%,690.912,0.125,July,3,Friday,2016,No
Second Class,Corporate,Miramar,Florida,33023,South,Office Supplies,Paper,41.472,8,0.2,14.5152,5,11-20%,33.1776,0.35,November,4,Saturday,2017,No
Standard Class,Home Office,San Francisco,California,94109,West,Office Supplies,Appliances,40.74,3,0.0,12.222,4,No Discount,40.74,0.3,April,2,Sunday,2017,No
First Class,Corporate,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,42.408,3,0.2,9.5418,3,11-20%,33.9264,0.225,April,2,Thursday,2017,No
Standard Class,Corporate,Jackson,Tennessee,38301,South,Furniture,Furnishings,692.472,11,0.2,190.4298,4,11-20%,553.9776,0.275,November,4,Thursday,2015,Yes
Same Day,Consumer,Austin,Texas,78745,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,0,11-20%,8.2944,0.35,April,2,Monday,2017,No
Standard Class,Home Office,San Francisco,California,94122,West,Furniture,Bookcases,119.833,1,0.15,7.049,5,11-20%,101.85805,0.058823529,July,3,Wednesday,2014,No
First Class,Consumer,Waynesboro,Virginia,22980,South,Technology,Phones,569.64,2,0.0,148.1064,2,No Discount,569.64,0.26,April,2,Thursday,2015,No
Standard Class,Corporate,Philadelphia,Pennsylvania,19143,East,Office Supplies,Art,2.624,1,0.2,0.4264,6,11-20%,2.0992,0.1625,December,4,Saturday,2017,No
First Class,Corporate,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,282.888,9,0.2,56.5776,2,11-20%,226.3104,0.2,July,3,Friday,2015,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19134,East,Office Supplies,Labels,29.24,5,0.2,9.8685,4,11-20%,23.392,0.3375,September,3,Thursday,2017,No
Standard Class,Home Office,San Francisco,California,94122,West,Furniture,Furnishings,4.95,1,0.0,2.178,4,No Discount,4.95,0.44,June,2,Tuesday,2017,No
Standard Class,Home Office,Chicago,Illinois,60610,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,4,11-20%,51.6992,0.35,August,3,Monday,2016,No
Standard Class,Consumer,New York City,New York,10011,East,Office Supplies,Labels,5.76,2,0.0,2.8224,5,No Discount,5.76,0.49,December,4,Wednesday,2016,No
Standard Class,Home Office,Columbus,Georgia,31907,South,Furniture,Tables,452.94,3,0.0,67.941,7,No Discount,452.94,0.15,June,2,Monday,2017,No
Second Class,Home Office,Everett,Massachusetts,2149,East,Furniture,Furnishings,38.97,3,0.0,4.6764,2,No Discount,38.97,0.12,November,4,Friday,2015,Yes
Standard Class,Consumer,Kenosha,Wisconsin,53142,Central,Furniture,Bookcases,512.94,3,0.0,97.4586,4,No Discount,512.94,0.19,March,1,Sunday,2015,No
First Class,Consumer,East Orange,New Jersey,7017,East,Office Supplies,Paper,25.92,4,0.0,12.4416,3,No Discount,25.92,0.48,November,4,Sunday,2016,No
Standard Class,Consumer,New York City,New York,10035,East,Office Supplies,Binders,35.448,7,0.2,12.8499,5,11-20%,28.3584,0.3625,December,4,Tuesday,2014,No
First Class,Consumer,Waynesboro,Virginia,22980,South,Furniture,Furnishings,1196.86,7,0.0,119.686,2,No Discount,1196.86,0.1,April,2,Thursday,2015,No
Second Class,Corporate,Los Angeles,California,90049,West,Technology,Accessories,159.56,4,0.0,59.0372,3,No Discount,159.56,0.37,May,2,Tuesday,2017,No
Standard Class,Consumer,New York City,New York,10035,East,Office Supplies,Paper,12.96,2,0.0,6.3504,7,No Discount,12.96,0.49,November,4,Monday,2016,No
Standard Class,Corporate,Bryan,Texas,77803,Central,Furniture,Chairs,528.43,5,0.3,-143.431,4,21-30%,369.901,-0.271428571,March,1,Tuesday,2016,No
Standard Class,Home Office,Los Angeles,California,90032,West,Office Supplies,Binders,23.24,5,0.2,7.553,4,11-20%,18.592,0.325,April,2,Sunday,2017,No
Standard Class,Corporate,Vineland,New Jersey,8360,East,Office Supplies,Appliances,26.49,1,0.0,7.4172,7,No Discount,26.49,0.28,December,4,Monday,2016,No
Second Class,Home Office,Costa Mesa,California,92627,West,Technology,Accessories,239.97,3,0.0,26.3967,3,No Discount,239.97,0.11,January,1,Saturday,2017,No
First Class,Consumer,Green Bay,Wisconsin,54302,Central,Technology,Accessories,468.9,6,0.0,206.316,2,No Discount,468.9,0.44,February,1,Saturday,2014,No
Standard Class,Corporate,Dallas,Texas,75220,Central,Office Supplies,Storage,61.792,4,0.2,6.1792,6,11-20%,49.4336,0.1,November,4,Monday,2017,No
Standard Class,Consumer,Chicago,Illinois,60623,Central,Technology,Accessories,40.68,3,0.2,-7.119,4,11-20%,32.544,-0.175,September,3,Saturday,2017,No
First Class,Home Office,New York City,New York,10009,East,Office Supplies,Paper,37.94,2,0.0,18.2112,2,No Discount,37.94,0.48,May,2,Friday,2015,No
Standard Class,Consumer,Los Angeles,California,90036,West,Furniture,Furnishings,79.92,4,0.0,28.7712,5,No Discount,79.92,0.36,December,4,Monday,2015,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,59.904,2,0.2,14.2272,4,11-20%,47.9232,0.2375,May,2,Sunday,2015,No
Standard Class,Corporate,Jackson,Michigan,49201,Central,Office Supplies,Art,3.9,2,0.0,1.521,6,No Discount,3.9,0.39,December,4,Thursday,2015,No
Standard Class,Consumer,Seattle,Washington,98105,West,Office Supplies,Paper,21.4,5,0.0,10.058,5,No Discount,21.4,0.47,September,3,Thursday,2016,No
Standard Class,Consumer,Appleton,Wisconsin,54915,Central,Technology,Accessories,1649.75,5,0.0,544.4175,5,No Discount,1649.75,0.33,October,4,Friday,2016,No
Standard Class,Consumer,Chicago,Illinois,60623,Central,Office Supplies,Binders,17.904,6,0.8,-31.332,7,41-100%,3.5808,-1.75,December,4,Monday,2014,No
Standard Class,Corporate,Los Angeles,California,90032,West,Office Supplies,Binders,19.68,5,0.2,6.888,5,11-20%,15.744,0.35,March,1,Thursday,2017,No
Standard Class,Consumer,Fayetteville,Arkansas,72701,South,Office Supplies,Binders,1793.98,2,0.0,843.1706,5,No Discount,1793.98,0.47,September,3,Tuesday,2014,No
Standard Class,Corporate,Lancaster,Pennsylvania,17602,East,Office Supplies,Binders,81.438,7,0.7,-65.1504,4,41-100%,24.4314,-0.8,October,4,Thursday,2017,No
Standard Class,Consumer,Los Angeles,California,90008,West,Office Supplies,Paper,28.14,3,0.0,13.5072,5,No Discount,28.14,0.48,April,2,Monday,2017,No
Same Day,Consumer,Anaheim,California,92804,West,Office Supplies,Binders,35.808,3,0.2,11.19,0,11-20%,28.6464,0.3125,December,4,Sunday,2016,No
First Class,Consumer,Virginia Beach,Virginia,23464,South,Furniture,Furnishings,273.96,2,0.0,71.2296,2,No Discount,273.96,0.26,November,4,Saturday,2016,No
Second Class,Corporate,Houston,Texas,77070,Central,Office Supplies,Fasteners,15.808,8,0.2,5.3352,2,11-20%,12.6464,0.3375,September,3,Monday,2016,Yes
Standard Class,Consumer,Chattanooga,Tennessee,37421,South,Furniture,Chairs,390.368,2,0.2,48.796,4,11-20%,312.2944,0.125,November,4,Wednesday,2017,No
Second Class,Home Office,Chicago,Illinois,60653,Central,Furniture,Chairs,569.058,3,0.3,-178.8468,4,21-30%,398.3406,-0.314285714,June,2,Friday,2017,No
Standard Class,Home Office,Milwaukee,Wisconsin,53209,Central,Office Supplies,Supplies,21.81,3,0.0,5.8887,4,No Discount,21.81,0.27,August,3,Monday,2017,No
Standard Class,Consumer,Philadelphia,Pennsylvania,19120,East,Office Supplies,Supplies,5.84,2,0.2,0.73,5,11-20%,4.672,0.125,July,3,Saturday,2016,No
Standard Class,Home Office,Miami,Florida,33142,South,Office Supplies,Labels,11.696,2,0.2,3.9474,5,11-20%,9.3568,0.3375,December,4,Sunday,2015,No
Standard Class,Consumer,Chattanooga,Tennessee,37421,South,Office Supplies,Labels,4.928,2,0.2,1.7248,4,11-20%,3.9424,0.35,November,4,Saturday,2017,No
Standard Class,Consumer,New York City,New York,10024,East,Office Supplies,Paper,17.64,4,0.0,8.1144,6,No Discount,17.64,0.46,March,1,Sunday,2015,No
Standard Class,Consumer,Orlando,Florida,32839,South,Office Supplies,Paper,20.736,4,0.2,7.2576,5,11-20%,16.5888,0.35,August,3,Saturday,2017,No
Standard Class,Consumer,Quincy,Illinois,62301,Central,Office Supplies,Labels,19.824,6,0.2,6.4428,4,11-20%,15.8592,0.325,November,4,Thursday,2015,No
Standard Class,Consumer,Brentwood,California,94513,West,Office Supplies,Labels,88.8,6,0.0,44.4,5,No Discount,88.8,0.5,December,4,Monday,2014,No
